mots	semgram	lemfreq	surfreq	répartition
poulet		19		
poulet	poulet	19	17	
poulet	poulette	19	2	
proposer		19		
rapporter		19		
rapporter	(rapporter	19	15	
rapporter	(se rapporter	19	1	
rapporter	(rapporter de l'argent,gagner)	19	3	
réaliser		19		
recherche		19		
regretter		19		
répéter		19		
ressembler		19		
rond		19		
rond	rond	19	14	
rond	ronde	19	5	
rose		19		
rose	(adj.)	19	16	
rose	(nom.)	19	3	
veille		19		
vente		19		
visite		19		
affreux		18		
allumer		18		
apéritif		18		
auditeur		18		
augmenter		18		
au revoir		18		
bagage		18		
baigner		18		
baigner		18	1	
se baigner		18	11	
cigarette		18		
cinquième		18		
compliqué		18		
court		18		
court		18	08-juin	
à court de		18	03-févr	
courte		18	07-juin	
crever		18		
crever	(crever (sens propre)	18	07-mars	
crever	(se crever	18	02-févr	
crever	(crever (figuré)	18	09-juin	
davantage		18		
décoration		18		
embêtant		18		
embêtante		18	1	
ensemble	(nom.)	18		
erreur		18		
étudier		18		
évident		18		
évidente		18	1	
gendarme		18		
indiquer		18		
instant		18		
langage		18		
lapin		18		
lourd		18		
lourd	(lourd	18	13-juil	
lourd	(lourde	18	05-mai	
manière		18		
maths		18		
oeuvre		18		
or	(nom.)	18		
parmi		18		
particulièrement		18		
piste		18		
plateau		18		
quai		18		
rayon		18		
renseignement		18		
reposer		18		
reposer	(reposer	18	08-juil	
reposer	(se reposer	18	10-juil	
sec		18		
sec	(sec	18	15-oct	
sec	(sèche	18	03-févr	
tôt		18		
vendredi		18		
arracher		17		
balle		17		
balle	(balle (franc)	17	11-janv	
balle	(balle (de fusil) 	17	04-janv	
balle	(balle (jouet)	17	02-janv	
bébé		17		
bouffer		17		
boulevard		17		
camper		17		
chaîne		17		
chaîne	(chaîne	17	janv-00	
chaîne	(chaîne (de montagne)	17	2	
chat		17		
chat	chat	17	janv-00	
chat	chatte	17	01-janv	
commandant		17		
conscience		17		
conséquent	(dans par conséquent)	17		
considérer		17		
corps		17		
couvent		17		
critique		17		
critique	(adj.	17	janv-00	
critique	(fém.	17	04-janv	
défendre		17		
défendre	(défendre (sens non déterminé	17	9	
défendre	(se défendre	17	6	
défendre	(défendre (interdire	17	2	
dîner		17		
doigt		17		
embêter		17		
embêter	(embêter	17	11	
embêter	(s'embêter	17	6	
ennuyeux		17		
ennuyeux	ennuyeux	17	16	
ennuyeux	ennuyeuse	17	1	
environs		17		
essence		17		
essentiel		17		
extraordinaire		17		
feu		17		
figurer		17		
figurer	(se figurer	17	16	
figurer	(figurer	17	1	
filer		17		
filer	(filer (partir)	17	8	
filer	(filer (donner)	17	4	
filer	(filer (au fuseau)	17	5	
fruit		17		
halle		17		
intérêt		17		
jeunesse		17		
maladie		17		
marchandise		17		
merveilleux		17		
merveilleux	merveilleux	17	13	
merveilleux	merveilleuse	17	4	
pomme de terre		17		
possibilité		17		
prier		17		
propreté		17		
quantité		17		
quatrième		17		
réduire		17		
remarquable		17		
repos		17		
sale		17		
sauvage		17		
siècle		17		
signe		17		
sinon		17		
société		17		
soulier		17		
surprendre		17		
test		17		
toit		17		
tout le temps		17		
troupe		17		
utiliser		17		
vallée		17		
vent		17		
ventre		17		
wagon		17		
administration		16		
au-dessus		16		
bal		16		
bicyclette		16		
bientôt		16		
chauffeur		16		
cheminée		16		
classique		16		
classique	(classique (nom.)	16	5	
classique	(classique (adj.)	16	5	
commander		16		
commercial		16		
commercial	commercial	16	10	
commercial	commerciaux	16	1	
conduite		16		
danse		16		
débarrasser		16		
débarrasser	(débarrasser	16	7	
débarrasser	(se débarrasser	16	5	
déranger		16		
déranger	(déranger	16	9	
déranger	(se déranger	16	6	
élément		16		
ennui		16		
espagnol		16		
étant donné		16		
étant donné	(étant donné	16	3	
étant donné	(étant donné que	16	12	
exagérer		16		
fer		16		
garantir		16		
idiot		16		
idiot	idiot	16	12	
idiot	idiote	16	2	
jurer		16		
lac		16		
lâcher		16		
logement		16		
marine	(nom.)	16		
montagne		16		
nommer		16		
novembre		16		
obtenir		16		
peau		16		
piquer		16		
prétendre		16		
probablement		16		
projet		16		
prouver		16		
rapprocher		16	1	
rapprocher	(rapprocher	16	6	
rapprocher	(se rapprocher	16	4	
rater		16		
réfléchir		16		
régiment		16		
retour		16		
rigoler		16		
salon		16		
séparer		16		
séparer	(séparer	16	9	
séparer	(se séparer	16	3	
sortie		16		
soupe		16		
suffisamment		16		
supprimer		16		
t	(euphémique)	16		
thé		16		
traîner		16		
vide		16		
volonté		16		
voyager		16		
abîmer		15		
achat		15		
agricole		15		
allure		15		
arrivée		15		
balai		15		
barre		15		
bâton		15		
boutique		15		
central		15		
cerise		15		
clef		15		
chapeau		15		
charbon		15		
chocolat		15		
climat		15		
climat	(climat	15	12	
climat	(climat (figuré)	15	3	
complet		15		
concierge		15		
couler		15		
couteau		15		
décor		15		
découvrir		15		
dent		15		
dépasser		15		
désirer		15		
diriger		15		
diriger	(diriger	15	12	
diriger	(se diriger	15	3	
drôlement		15		
effrayant		15		
effrayant	effrayant	15	14	
effrayant	effrayante	15	1	
employé		15		
énorme		15		
épingle		15		
extérieur		15		
FAUX		15		
FAUX	FAUX	15	8	
FAUX	fausse	15	7	
forcer		15		
fournir		15		
frais		15		
frais	frais	15	14	
frais	fraîche	15	1	
gamin		15		
gamin	gamin	15	10	
gamin	gamine	15	5	
grenier		15		
habituer		15		
habituer	(habituer	15	9	
habituer	(s'habituer	15	6	
importance		15		
japonais		15		
japonais	japonais	15	12	
japonais	japonaise	15	3	
jeune homme		15		
kilo		15		
lecture		15		
manteau		15		
mener		15		
municipalité		15		
nerveux		15		
nerveux	nerveux	15	11	
nerveux	nerveuse	15	4	
ouais		15		
pension		15		
permission		15		
p.m.u		15		
poche		15		
point	(négation)	15		
pont		15		
porteur		15		
publicité		15		
raccord		15		
réveiller		15		
réveiller	(réveiller	15	8	
réveiller	(se réveiller	15	7	
scolaire		15		
sécher		15		
sécher	(sécher	15	14	
sécher	(sécher (les cours)	15	1	
soit ... soit		15		
soit ... soit	(soit que ... soit que)	15	1	
solide		15		
solitude		15		
sud		15		
tabac		15		
tapis		15		
taxi		15		
trac		15		
tribunal		15		
tribunal	tribunal	15	13	
tribunal	tribunaux	15	2	
tuyau		15		
unique		15		
voler	(dérober)	15		
accepter		14		
ambiance		14		
approcher		14		
approcher	(approcher	14	9	
approcher	(s'approcher	14	5	
arabe		14		
arabe	(arabe (nom.)	14	8	
arabe	(arabe (langue)	14	4	
arabe	(arabe (adj.)	14	2	
articuler		14		
bagnole		14		
baisser		14		
ballon		14		
bande		14		
base		14		
bille		14		
bouche		14		
boulot		14		
caisse		14		
caisse	(caisse (comptabilité (	14	7	
caisse	(caisse (établissement (de crédit)	14	4	
caisse	(caisse (emballage)	14	3	
cave		14		
chaise		14		
chemise		14		
chiffon		14		
clientèle		14		
couloir		14		
courant	(dans : au corant)	14		
craindre		14		
crier		14		
cuir		14		
depuis que		14		
dernièrement		14		
double	(adj.)	14		
énerver		14		
énerver	(énerver	14	12	
énerver	(s'énerver	14	2	
entier		14		
entier	entier	14	5	
entier	entière	14	9	
examiner		14		
exprès		14		
fermier		14		
garde		14		
grand-père		14		
haricot		14		
immédiatement		14		
ingénieur		14		
invention		14		
juin		14		
légume		14		
lumière		14		
lunettes		14		
mai		14		
manger	(nom.)	14		
marche		14		
matière		14		
mignon		14		
mignon	mignon	14	8	
mignon	mignonne	14	6	
mont		14		
organisation		14		
origine		14		
page		14		
parent		14		
parent	parent	14	11	
parent	parente	14	3	
poésie		14		
précisément		14		
raisonnable		14		
réellement		14		
régulier		14		
rejoindre		14		
réserver		14		
salle à manger		14		
sang		14		
sapin		14		
serviette		14		
souci		14		
spectacle		14		
sport		14		
succès		14		
tendre		14		
tranche		14		
vis		14		
voie		14		
zéro		14		
aimable		13		
aîné		13		
appliquer		13		
appliquer	(appliquer	13	11	
appliquer	(s'appliquer	13	2	
arrêt		13		
assurance		13		
atelier		13		
autobus		13		
baisse		13		
banc		13		
banlieue		13		
bêtise		13		
bizarre		13		
blé		13		
breton		13		
breton	(breton (nom.)	13	5	
breton	(breton (langue)	13	1	
breton	(breton (adj.)	13	5	
breton	(bretonne	13	2	
brillant		13		
brillant	(brillant (adj.)	13	10	
brillant	(brillant (nom.)	13	1	
brillant	(brillante	13	2	
chemin de fer		13		
compagnie		13		
compagnie	(compagnie (commerciale)	13	10	
compagnie	(compagnie (tenir)	13	2	
compagnie	(compagnie (année)	13	1	
comparaison		13		
cou		13		
défaut		13		
définir		13		
distraction		13		
démonstration		13		
dessin		13		
douter		13		
